date,region,channel,activations
2026-05-13,CENTRAL,RETAIL,98
2026-05-13,CENTRAL,DIGITAL,103
2026-05-13,WEST,RETAIL,108
2026-05-13,WEST,DIGITAL,113
2026-05-14,NORTHEAST,RETAIL,78
2026-05-14,NORTHEAST,DIGITAL,83
2026-05-14,SOUTHEAST,RETAIL,88
2026-05-14,SOUTHEAST,DIGITAL,93
2026-05-14,CENTRAL,RETAIL,98
2026-05-14,CENTRAL,DIGITAL,103
2026-05-14,WEST,RETAIL,108
2026-05-14,WEST,DIGITAL,113
2026-05-15,NORTHEAST,RETAIL,78
2026-05-15,NORTHEAST,DIGITAL,83
2026-05-15,SOUTHEAST,RETAIL,88
2026-05-15,SOUTHEAST,DIGITAL,93
2026-05-15,CENTRAL,RETAIL,98
2026-05-15,CENTRAL,DIGITAL,103
2026-05-15,WEST,RETAIL,108
2026-05-15,WEST,DIGITAL,113
2026-05-16,NORTHEAST,RETAIL,78
2026-05-16,NORTHEAST,DIGITAL,83
2026-05-16,SOUTHEAST,RETAIL,88
2026-05-16,SOUTHEAST,DIGITAL,93
2026-05-16,CENTRAL,RETAIL,98
2026-05-16,CENTRAL,DIGITAL,103
2026-05-16,WEST,RETAIL,108
2026-05-16,WEST,DIGITAL,113
2026-05-17,NORTHEAST,RETAIL,78
2026-05-17,NORTHEAST,DIGITAL,83
2026-05-17,SOUTHEAST,RETAIL,88
2026-05-17,SOUTHEAST,DIGITAL,93
2026-05-17,CENTRAL,RETAIL,98
2026-05-17,CENTRAL,DIGITAL,103
2026-05-17,WEST,RETAIL,108
2026-05-17,WEST,DIGITAL,113
2026-05-18,NORTHEAST,RETAIL,78
2026-05-18,NORTHEAST,DIGITAL,83
2026-05-18,SOUTHEAST,RETAIL,88
2026-05-18,SOUTHEAST,DIGITAL,93
2026-05-18,CENTRAL,RETAIL,98
2026-05-18,CENTRAL,DIGITAL,103
2026-05-18,WEST,RETAIL,108
2026-05-18,WEST,DIGITAL,113
2026-05-19,NORTHEAST,RETAIL,78
2026-05-19,NORTHEAST,DIGITAL,83
2026-05-19,SOUTHEAST,RETAIL,88
2026-05-19,SOUTHEAST,DIGITAL,93
2026-05-19,CENTRAL,RETAIL,98
2026-05-19,CENTRAL,DIGITAL,103
2026-05-19,WEST,RETAIL,108
2026-05-19,WEST,DIGITAL,113
2026-05-20,NORTHEAST,RETAIL,78
2026-05-20,NORTHEAST,DIGITAL,83
2026-05-20,SOUTHEAST,RETAIL,88
2026-05-20,SOUTHEAST,DIGITAL,93
2026-05-20,CENTRAL,RETAIL,98
2026-05-20,CENTRAL,DIGITAL,103
2026-05-20,WEST,RETAIL,108
2026-05-20,WEST,DIGITAL,113
2026-05-21,NORTHEAST,RETAIL,78
2026-05-21,NORTHEAST,DIGITAL,83
2026-05-21,SOUTHEAST,RETAIL,88
2026-05-21,SOUTHEAST,DIGITAL,93
2026-05-21,CENTRAL,RETAIL,98
2026-05-21,CENTRAL,DIGITAL,103
2026-05-21,WEST,RETAIL,108
2026-05-21,WEST,DIGITAL,113
2026-05-22,NORTHEAST,RETAIL,78
2026-05-22,NORTHEAST,DIGITAL,83
2026-05-22,SOUTHEAST,RETAIL,88
2026-05-22,SOUTHEAST,DIGITAL,93
2026-05-22,CENTRAL,RETAIL,98
2026-05-22,CENTRAL,DIGITAL,103
2026-05-22,WEST,RETAIL,108
2026-05-22,WEST,DIGITAL,113
2026-05-23,NORTHEAST,RETAIL,78
2026-05-23,NORTHEAST,DIGITAL,83
2026-05-23,SOUTHEAST,RETAIL,88
2026-05-23,SOUTHEAST,DIGITAL,93
2026-05-23,CENTRAL,RETAIL,98
2026-05-23,CENTRAL,DIGITAL,103
2026-05-23,WEST,RETAIL,108
2026-05-23,WEST,DIGITAL,113
2026-05-24,NORTHEAST,RETAIL,78
2026-05-24,NORTHEAST,DIGITAL,83
2026-05-24,SOUTHEAST,RETAIL,88
2026-05-24,SOUTHEAST,DIGITAL,93
2026-05-24,CENTRAL,RETAIL,98
2026-05-24,CENTRAL,DIGITAL,103
2026-05-24,WEST,RETAIL,108
2026-05-24,WEST,DIGITAL,113
2026-05-25,NORTHEAST,RETAIL,78
2026-05-25,NORTHEAST,DIGITAL,83
2026-05-25,SOUTHEAST,RETAIL,88
2026-05-25,SOUTHEAST,DIGITAL,93
2026-05-25,CENTRAL,RETAIL,98
2026-05-25,CENTRAL,DIGITAL,103
2026-05-25,WEST,RETAIL,108
2026-05-25,WEST,DIGITAL,113
2026-05-26,NORTHEAST,RETAIL,78
2026-05-26,NORTHEAST,DIGITAL,83
2026-05-26,SOUTHEAST,RETAIL,88
2026-05-26,SOUTHEAST,DIGITAL,93
2026-05-26,CENTRAL,RETAIL,98
2026-05-26,CENTRAL,DIGITAL,103
2026-05-26,WEST,RETAIL,108
2026-05-26,WEST,DIGITAL,113
2026-05-27,NORTHEAST,RETAIL,78
2026-05-27,NORTHEAST,DIGITAL,83
2026-05-27,SOUTHEAST,RETAIL,88
2026-05-27,SOUTHEAST,DIGITAL,93
2026-05-27,CENTRAL,RETAIL,98
2026-05-27,CENTRAL,DIGITAL,103
2026-05-27,WEST,RETAIL,108
2026-05-27,WEST,DIGITAL,113
2026-05-28,NORTHEAST,RETAIL,78
2026-05-28,NORTHEAST,DIGITAL,83
2026-05-28,SOUTHEAST,RETAIL,88
2026-05-28,SOUTHEAST,DIGITAL,93
2026-05-28,CENTRAL,RETAIL,98
2026-05-28,CENTRAL,DIGITAL,103
2026-05-28,WEST,RETAIL,108
2026-05-28,WEST,DIGITAL,113
2026-05-29,NORTHEAST,RETAIL,78
2026-05-29,NORTHEAST,DIGITAL,83
2026-05-29,SOUTHEAST,RETAIL,88
2026-05-29,SOUTHEAST,DIGITAL,93
2026-05-29,CENTRAL,RETAIL,98
2026-05-29,CENTRAL,DIGITAL,103
2026-05-29,WEST,RETAIL,108
2026-05-29,WEST,DIGITAL,113
2026-05-30,NORTHEAST,RETAIL,78
2026-05-30,NORTHEAST,DIGITAL,83
2026-05-30,SOUTHEAST,RETAIL,88
2026-05-30,SOUTHEAST,DIGITAL,93
2026-05-30,CENTRAL,RETAIL,98
2026-05-30,CENTRAL,DIGITAL,103
2026-05-30,WEST,RETAIL,108
2026-05-30,WEST,DIGITAL,113
2026-05-31,NORTHEAST,RETAIL,78
2026-05-31,NORTHEAST,DIGITAL,83
2026-05-31,SOUTHEAST,RETAIL,88
2026-05-31,SOUTHEAST,DIGITAL,93
2026-05-31,CENTRAL,RETAIL,98
2026-05-31,CENTRAL,DIGITAL,103
2026-05-31,WEST,RETAIL,108
2026-05-31,WEST,DIGITAL,113
2026-06-01,NORTHEAST,RETAIL,80
2026-06-01,NORTHEAST,DIGITAL,85
2026-06-01,SOUTHEAST,RETAIL,90
2026-06-01,SOUTHEAST,DIGITAL,95
2026-06-01,CENTRAL,RETAIL,100
2026-06-01,CENTRAL,DIGITAL,105
2026-06-01,WEST,RETAIL,110
2026-06-01,WEST,DIGITAL,115
2026-06-02,NORTHEAST,RETAIL,80
2026-06-02,NORTHEAST,DIGITAL,85
2026-06-02,SOUTHEAST,RETAIL,90
2026-06-02,SOUTHEAST,DIGITAL,95
2026-06-02,CENTRAL,RETAIL,100
2026-06-02,CENTRAL,DIGITAL,105
2026-06-02,WEST,RETAIL,110
2026-06-02,WEST,DIGITAL,115
2026-06-03,NORTHEAST,RETAIL,80
2026-06-03,NORTHEAST,DIGITAL,85
2026-06-03,SOUTHEAST,RETAIL,90
2026-06-03,SOUTHEAST,DIGITAL,95
2026-06-03,CENTRAL,RETAIL,100
2026-06-03,CENTRAL,DIGITAL,105
2026-06-03,WEST,RETAIL,110
2026-06-03,WEST,DIGITAL,115
2026-06-04,NORTHEAST,RETAIL,80
2026-06-04,NORTHEAST,DIGITAL,85
2026-06-04,SOUTHEAST,RETAIL,90
2026-06-04,SOUTHEAST,DIGITAL,95
2026-06-04,CENTRAL,RETAIL,100
2026-06-04,CENTRAL,DIGITAL,105
2026-06-04,WEST,RETAIL,110
2026-06-04,WEST,DIGITAL,115
2026-06-05,NORTHEAST,RETAIL,80
2026-06-05,NORTHEAST,DIGITAL,85
2026-06-05,SOUTHEAST,RETAIL,90
2026-06-05,SOUTHEAST,DIGITAL,95
2026-06-05,CENTRAL,RETAIL,100
2026-06-05,CENTRAL,DIGITAL,105
2026-06-05,WEST,RETAIL,110
2026-06-05,WEST,DIGITAL,115
2026-06-06,NORTHEAST,RETAIL,80
2026-06-06,NORTHEAST,DIGITAL,85
2026-06-06,SOUTHEAST,RETAIL,90
2026-06-06,SOUTHEAST,DIGITAL,95
2026-06-06,CENTRAL,RETAIL,100
2026-06-06,CENTRAL,DIGITAL,105
2026-06-06,WEST,RETAIL,110
2026-06-06,WEST,DIGITAL,115
2026-06-07,NORTHEAST,RETAIL,80
2026-06-07,NORTHEAST,DIGITAL,85
2026-06-07,SOUTHEAST,RETAIL,90
2026-06-07,SOUTHEAST,DIGITAL,95
2026-06-07,CENTRAL,RETAIL,100
2026-06-07,CENTRAL,DIGITAL,105
2026-06-07,WEST,RETAIL,110
2026-06-07,WEST,DIGITAL,115
2026-06-08,NORTHEAST,RETAIL,80
2026-06-08,NORTHEAST,DIGITAL,85
2026-06-08,SOUTHEAST,RETAIL,90
2026-06-08,SOUTHEAST,DIGITAL,95
2026-06-08,CENTRAL,RETAIL,100
2026-06-08,CENTRAL,DIGITAL,105
2026-06-08,WEST,RETAIL,110
2026-06-08,WEST,DIGITAL,115
2026-06-09,NORTHEAST,RETAIL,80
2026-06-09,NORTHEAST,DIGITAL,85
2026-06-09,SOUTHEAST,RETAIL,90
2026-06-09,SOUTHEAST,DIGITAL,95
2026-06-09,CENTRAL,RETAIL,100
2026-06-09,CENTRAL,DIGITAL,105
2026-06-09,WEST,RETAIL,110
2026-06-09,WEST,DIGITAL,115
2026-06-10,NORTHEAST,RETAIL,80
2026-06-10,NORTHEAST,DIGITAL,85
2026-06-10,SOUTHEAST,RETAIL,90
2026-06-10,SOUTHEAST,DIGITAL,95
2026-06-10,CENTRAL,RETAIL,100
2026-06-10,CENTRAL,DIGITAL,105
2026-06-10,WEST,RETAIL,110
2026-06-10,WEST,DIGITAL,115
2026-06-11,NORTHEAST,RETAIL,80
2026-06-11,NORTHEAST,DIGITAL,85
2026-06-11,SOUTHEAST,RETAIL,90
2026-06-11,SOUTHEAST,DIGITAL,95
2026-06-11,CENTRAL,RETAIL,100
2026-06-11,CENTRAL,DIGITAL,105
2026-06-11,WEST,RETAIL,110
2026-06-11,WEST,DIGITAL,115
2026-06-12,NORTHEAST,RETAIL,80
2026-06-12,NORTHEAST,DIGITAL,85
2026-06-12,SOUTHEAST,RETAIL,90
2026-06-12,SOUTHEAST,DIGITAL,95
2026-06-12,CENTRAL,RETAIL,100
2026-06-12,CENTRAL,DIGITAL,105
2026-06-12,WEST,RETAIL,110
2026-06-12,WEST,DIGITAL,115
2026-06-13,NORTHEAST,RETAIL,80
2026-06-13,NORTHEAST,DIGITAL,85
2026-06-13,SOUTHEAST,RETAIL,90
2026-06-13,SOUTHEAST,DIGITAL,95
2026-06-13,CENTRAL,RETAIL,100
2026-06-13,CENTRAL,DIGITAL,105
2026-06-13,WEST,RETAIL,110
2026-06-13,WEST,DIGITAL,115
2026-06-14,NORTHEAST,RETAIL,80
2026-06-14,NORTHEAST,DIGITAL,85
2026-06-14,SOUTHEAST,RETAIL,90
2026-06-14,SOUTHEAST,DIGITAL,95
2026-06-14,CENTRAL,RETAIL,100
2026-06-14,CENTRAL,DIGITAL,105
2026-06-14,WEST,RETAIL,110
2026-06-14,WEST,DIGITAL,115
2026-06-15,NORTHEAST,RETAIL,80
2026-06-15,NORTHEAST,DIGITAL,85
2026-06-15,SOUTHEAST,RETAIL,90
2026-06-15,SOUTHEAST,DIGITAL,95
2026-06-15,CENTRAL,RETAIL,100
2026-06-15,CENTRAL,DIGITAL,105
2026-06-15,WEST,RETAIL,110
2026-06-15,WEST,DIGITAL,115
2026-06-16,NORTHEAST,RETAIL,80
2026-06-16,NORTHEAST,DIGITAL,85
2026-06-16,SOUTHEAST,RETAIL,90
2026-06-16,SOUTHEAST,DIGITAL,95
2026-06-16,CENTRAL,RETAIL,100
2026-06-16,CENTRAL,DIGITAL,105
2026-06-16,WEST,RETAIL,110
2026-06-16,WEST,DIGITAL,115
2026-06-17,NORTHEAST,RETAIL,80
2026-06-17,NORTHEAST,DIGITAL,85
2026-06-17,SOUTHEAST,RETAIL,90
2026-06-17,SOUTHEAST,DIGITAL,95
2026-06-17,CENTRAL,RETAIL,100
2026-06-17,CENTRAL,DIGITAL,105
2026-06-17,WEST,RETAIL,110
2026-06-17,WEST,DIGITAL,115
2026-06-18,NORTHEAST,RETAIL,80
2026-06-18,NORTHEAST,DIGITAL,85
2026-06-18,SOUTHEAST,RETAIL,90
2026-06-18,SOUTHEAST,DIGITAL,95
2026-06-18,CENTRAL,RETAIL,100
2026-06-18,CENTRAL,DIGITAL,105
2026-06-18,WEST,RETAIL,110
2026-06-18,WEST,DIGITAL,115
2026-06-19,NORTHEAST,RETAIL,80
2026-06-19,NORTHEAST,DIGITAL,85
2026-06-19,SOUTHEAST,RETAIL,90
2026-06-19,SOUTHEAST,DIGITAL,95
2026-06-19,CENTRAL,RETAIL,100
2026-06-19,CENTRAL,DIGITAL,105
2026-06-19,WEST,RETAIL,110
2026-06-19,WEST,DIGITAL,115
2026-06-20,NORTHEAST,RETAIL,80
2026-06-20,NORTHEAST,DIGITAL,85
2026-06-20,SOUTHEAST,RETAIL,90
2026-06-20,SOUTHEAST,DIGITAL,95
2026-06-20,CENTRAL,RETAIL,100
2026-06-20,CENTRAL,DIGITAL,105
2026-06-20,WEST,RETAIL,110
2026-06-20,WEST,DIGITAL,115
2026-06-21,NORTHEAST,RETAIL,80
2026-06-21,NORTHEAST,DIGITAL,85
2026-06-21,SOUTHEAST,RETAIL,90
2026-06-21,SOUTHEAST,DIGITAL,95
2026-06-21,CENTRAL,RETAIL,100
2026-06-21,CENTRAL,DIGITAL,105
2026-06-21,WEST,RETAIL,110
2026-06-21,WEST,DIGITAL,115
2026-06-22,NORTHEAST,RETAIL,80
2026-06-22,NORTHEAST,DIGITAL,85
2026-06-22,SOUTHEAST,RETAIL,90
2026-06-22,SOUTHEAST,DIGITAL,95
2026-06-22,CENTRAL,RETAIL,100
2026-06-22,CENTRAL,DIGITAL,105
2026-06-22,WEST,RETAIL,110
2026-06-22,WEST,DIGITAL,115
2026-06-23,NORTHEAST,RETAIL,80
2026-06-23,NORTHEAST,DIGITAL,85
2026-06-23,SOUTHEAST,RETAIL,90
2026-06-23,SOUTHEAST,DIGITAL,95
2026-06-23,CENTRAL,RETAIL,100
2026-06-23,CENTRAL,DIGITAL,105
2026-06-23,WEST,RETAIL,110
2026-06-23,WEST,DIGITAL,115
2026-06-24,NORTHEAST,RETAIL,80
2026-06-24,NORTHEAST,DIGITAL,85
2026-06-24,SOUTHEAST,RETAIL,90
2026-06-24,SOUTHEAST,DIGITAL,95
2026-06-24,CENTRAL,RETAIL,100
2026-06-24,CENTRAL,DIGITAL,105
2026-06-24,WEST,RETAIL,110
2026-06-24,WEST,DIGITAL,115
2026-06-25,NORTHEAST,RETAIL,80
2026-06-25,NORTHEAST,DIGITAL,85
2026-06-25,SOUTHEAST,RETAIL,90
2026-06-25,SOUTHEAST,DIGITAL,95
2026-06-25,CENTRAL,RETAIL,100
2026-06-25,CENTRAL,DIGITAL,105
2026-06-25,WEST,RETAIL,110
2026-06-25,WEST,DIGITAL,115
2026-06-26,NORTHEAST,RETAIL,80
2026-06-26,NORTHEAST,DIGITAL,85
2026-06-26,SOUTHEAST,RETAIL,90
2026-06-26,SOUTHEAST,DIGITAL,95
2026-06-26,CENTRAL,RETAIL,100
2026-06-26,CENTRAL,DIGITAL,105
2026-06-26,WEST,RETAIL,110
2026-06-26,WEST,DIGITAL,115
2026-06-27,NORTHEAST,RETAIL,80
2026-06-27,NORTHEAST,DIGITAL,85
2026-06-27,SOUTHEAST,RETAIL,90
2026-06-27,SOUTHEAST,DIGITAL,95
2026-06-27,CENTRAL,RETAIL,100
2026-06-27,CENTRAL,DIGITAL,105
2026-06-27,WEST,RETAIL,110
2026-06-27,WEST,DIGITAL,115
2026-06-28,NORTHEAST,RETAIL,80
2026-06-28,NORTHEAST,DIGITAL,85
2026-06-28,SOUTHEAST,RETAIL,90
2026-06-28,SOUTHEAST,DIGITAL,95
2026-06-28,CENTRAL,RETAIL,100
2026-06-28,CENTRAL,DIGITAL,105
2026-06-28,WEST,RETAIL,110
2026-06-28,WEST,DIGITAL,115
2026-06-29,NORTHEAST,RETAIL,80
2026-06-29,NORTHEAST,DIGITAL,85
2026-06-29,SOUTHEAST,RETAIL,90
2026-06-29,SOUTHEAST,DIGITAL,95
2026-06-29,CENTRAL,RETAIL,100
2026-06-29,CENTRAL,DIGITAL,105
2026-06-29,WEST,RETAIL,110
2026-06-29,WEST,DIGITAL,115
2026-06-30,NORTHEAST,RETAIL,80
2026-06-30,NORTHEAST,DIGITAL,85
2026-06-30,SOUTHEAST,RETAIL,90
2026-06-30,SOUTHEAST,DIGITAL,95
2026-06-30,CENTRAL,RETAIL,100
2026-06-30,CENTRAL,DIGITAL,105
2026-06-30,WEST,RETAIL,110
2026-06-30,WEST,DIGITAL,115
2026-07-01,NORTHEAST,RETAIL,82
2026-07-01,NORTHEAST,DIGITAL,87
2026-07-01,SOUTHEAST,RETAIL,92
2026-07-01,SOUTHEAST,DIGITAL,97
2026-07-01,CENTRAL,RETAIL,102
2026-07-01,CENTRAL,DIGITAL,107
2026-07-01,WEST,RETAIL,112
2026-07-01,WEST,DIGITAL,117
2026-07-02,NORTHEAST,RETAIL,82
2026-07-02,NORTHEAST,DIGITAL,87
2026-07-02,SOUTHEAST,RETAIL,92
2026-07-02,SOUTHEAST,DIGITAL,97
2026-07-02,CENTRAL,RETAIL,102
2026-07-02,CENTRAL,DIGITAL,107
2026-07-02,WEST,RETAIL,112
2026-07-02,WEST,DIGITAL,117
2026-07-03,NORTHEAST,RETAIL,82
2026-07-03,NORTHEAST,DIGITAL,87
2026-07-03,SOUTHEAST,RETAIL,92
2026-07-03,SOUTHEAST,DIGITAL,97
2026-07-03,CENTRAL,RETAIL,102
2026-07-03,CENTRAL,DIGITAL,107
2026-07-03,WEST,RETAIL,112
2026-07-03,WEST,DIGITAL,117
2026-07-04,NORTHEAST,RETAIL,82
2026-07-04,NORTHEAST,DIGITAL,87
2026-07-04,SOUTHEAST,RETAIL,92
2026-07-04,SOUTHEAST,DIGITAL,97
2026-07-04,CENTRAL,RETAIL,102
2026-07-04,CENTRAL,DIGITAL,107
2026-07-04,WEST,RETAIL,112
2026-07-04,WEST,DIGITAL,117
2026-07-05,NORTHEAST,RETAIL,82
2026-07-05,NORTHEAST,DIGITAL,87
2026-07-05,SOUTHEAST,RETAIL,92
2026-07-05,SOUTHEAST,DIGITAL,97
2026-07-05,CENTRAL,RETAIL,102
2026-07-05,CENTRAL,DIGITAL,107
2026-07-05,WEST,RETAIL,112
2026-07-05,WEST,DIGITAL,117
2026-07-06,NORTHEAST,RETAIL,82
2026-07-06,NORTHEAST,DIGITAL,87
2026-07-06,SOUTHEAST,RETAIL,92
2026-07-06,SOUTHEAST,DIGITAL,97
2026-07-06,CENTRAL,RETAIL,102
2026-07-06,CENTRAL,DIGITAL,107
2026-07-06,WEST,RETAIL,112
2026-07-06,WEST,DIGITAL,117
2026-07-07,NORTHEAST,RETAIL,82
2026-07-07,NORTHEAST,DIGITAL,87
2026-07-07,SOUTHEAST,RETAIL,92
2026-07-07,SOUTHEAST,DIGITAL,97
2026-07-07,CENTRAL,RETAIL,102
2026-07-07,CENTRAL,DIGITAL,107
2026-07-07,WEST,RETAIL,112
2026-07-07,WEST,DIGITAL,117
2026-07-08,NORTHEAST,RETAIL,82
2026-07-08,NORTHEAST,DIGITAL,87
2026-07-08,SOUTHEAST,RETAIL,92
2026-07-08,SOUTHEAST,DIGITAL,97
2026-07-08,CENTRAL,RETAIL,102
2026-07-08,CENTRAL,DIGITAL,107
2026-07-08,WEST,RETAIL,112
2026-07-08,WEST,DIGITAL,117
2026-07-09,NORTHEAST,RETAIL,82
2026-07-09,NORTHEAST,DIGITAL,87
2026-07-09,SOUTHEAST,RETAIL,92
2026-07-09,SOUTHEAST,DIGITAL,97
2026-07-09,CENTRAL,RETAIL,102
2026-07-09,CENTRAL,DIGITAL,107
2026-07-09,WEST,RETAIL,112
2026-07-09,WEST,DIGITAL,117
2026-07-10,NORTHEAST,RETAIL,82
2026-07-10,NORTHEAST,DIGITAL,87
2026-07-10,SOUTHEAST,RETAIL,92
2026-07-10,SOUTHEAST,DIGITAL,97
2026-07-10,CENTRAL,RETAIL,102
2026-07-10,CENTRAL,DIGITAL,107
2026-07-10,WEST,RETAIL,112
2026-07-10,WEST,DIGITAL,117
2026-07-11,NORTHEAST,RETAIL,82
2026-07-11,NORTHEAST,DIGITAL,87
2026-07-11,SOUTHEAST,RETAIL,92
2026-07-11,SOUTHEAST,DIGITAL,97
2026-07-11,CENTRAL,RETAIL,102
2026-07-11,CENTRAL,DIGITAL,107
2026-07-11,WEST,RETAIL,112
2026-07-11,WEST,DIGITAL,117
2026-07-12,NORTHEAST,RETAIL,82
2026-07-12,NORTHEAST,DIGITAL,87
2026-07-12,SOUTHEAST,RETAIL,92
2026-07-12,SOUTHEAST,DIGITAL,97
2026-07-12,CENTRAL,RETAIL,102
2026-07-12,CENTRAL,DIGITAL,107
2026-07-12,WEST,RETAIL,112
2026-07-12,WEST,DIGITAL,117
2026-07-13,NORTHEAST,RETAIL,82
2026-07-13,NORTHEAST,DIGITAL,87
2026-07-13,SOUTHEAST,RETAIL,92
2026-07-13,SOUTHEAST,DIGITAL,97
2026-07-13,CENTRAL,RETAIL,102
2026-07-13,CENTRAL,DIGITAL,107
2026-07-13,WEST,RETAIL,112
2026-07-13,WEST,DIGITAL,117
2026-07-14,NORTHEAST,RETAIL,82
2026-07-14,NORTHEAST,DIGITAL,87
2026-07-14,SOUTHEAST,RETAIL,92
2026-07-14,SOUTHEAST,DIGITAL,97
2026-07-14,CENTRAL,RETAIL,102
2026-07-14,CENTRAL,DIGITAL,107
2026-07-14,WEST,RETAIL,112
2026-07-14,WEST,DIGITAL,117
2026-07-15,NORTHEAST,RETAIL,82
2026-07-15,NORTHEAST,DIGITAL,87
2026-07-15,SOUTHEAST,RETAIL,92
2026-07-15,SOUTHEAST,DIGITAL,97
2026-07-15,CENTRAL,RETAIL,102
2026-07-15,CENTRAL,DIGITAL,107
2026-07-15,WEST,RETAIL,112
2026-07-15,WEST,DIGITAL,117
2026-07-16,NORTHEAST,RETAIL,82
2026-07-16,NORTHEAST,DIGITAL,87
2026-07-16,SOUTHEAST,RETAIL,92
2026-07-16,SOUTHEAST,DIGITAL,97
2026-07-16,CENTRAL,RETAIL,102
2026-07-16,CENTRAL,DIGITAL,107
2026-07-16,WEST,RETAIL,112
2026-07-16,WEST,DIGITAL,117
2026-07-17,NORTHEAST,RETAIL,82
2026-07-17,NORTHEAST,DIGITAL,87
2026-07-17,SOUTHEAST,RETAIL,92
2026-07-17,SOUTHEAST,DIGITAL,97
2026-07-17,CENTRAL,RETAIL,102
